id,A,B,C,D,E,X,Y,Z,steps,timestamp,prev_location,location,usefor
1,-74,-66,-82,-71,-74,0.75,-0.09,9.78,3,1535907201,11,11,train
2,-85,-66,-77,-77,-67,0.76,-0.11,9.8,3,1535907206,11,11,train
3,-83,-62,-76,-69,-68,0.76,-0.1,9.8,3,1535907208,11,11,train
4,-87,-74,-87,-70,-66,-0.01,4.9,8.28,3,1535907230,11,10,train
5,-80,-74,-82,-83,-76,0.27,5.11,7.95,3,1535907237,10,15,train
6,-82,-72,-82,-72,-69,0.35,5.74,7.4,3,1535907253,15,9,train
7,-73,-80,-81,-75,-71,-0.11,4.34,9.32,3,1535907262,9,8,train
8,-66,-78,-80,-89,-74,-1.69,5.06,8.09,3,1535907270,8,4,train
9,-47,-76,-75,-83,-79,-1.29,6.07,5.57,3,1535907278,4,0,test
10,-65,-76,-76,-79,-86,-1,5.84,8.66,3,1535907286,0,1,train
11,-82,-75,-76,-86,-76,0.05,4.51,8.83,3,1535907292,1,1,train
12,-80,-75,-76,-86,-80,-1.87,5.6,6.94,3,1535907300,1,2,train
13,-82,-81,-59,-99,-80,0.06,6.18,7.57,3,1535907308,2,2,train
14,-79,-71,-78,-86,-78,0.4,4.68,8.16,3,1535907311,2,3,train
15,-85,-56,-64,-84,-76,0.79,4.78,8.32,3,1535907317,3,7,train
16,-74,-55,-67,-77,-81,0.46,3.5,8.61,3,1535907328,7,11,train
17,-77,-59,-63,-85,-87,0.59,4.7,8.89,3,1535907336,11,6,train
18,-71,-69,-72,-74,-85,-0.66,4.14,8.83,3,1535907345,6,6,train
19,-81,-73,-74,-81,-84,-0.15,2.66,9.22,3,1535907350,6,10,train
20,-72,-82,-77,-86,-82,0.11,4.46,8.31,3,1535907357,10,5,train
21,-62,-82,-75,-94,-78,0.31,4,8.1,3,1535907360,5,5,train
22,-70,-87,-75,-84,-82,1.03,4.94,8.51,3,1535907368,5,9,train
23,-88,-66,-80,-72,-68,0.12,3.88,8.65,3,1535907374,9,9,train
24,-89,-68,-80,-72,-76,0.24,3.59,9.45,3,1535907377,9,10,train
25,-93,-93,-92,-76,-72,0.86,4.23,8.44,3,1535907382,10,11,train
26,-88,-84,-90,-68,-72,1.02,3.81,8.47,3,1535907386,11,15,train
27,-90,-76,-82,-77,-78,1.39,3.3,9.13,3,1535907392,15,14,train
28,-81,-82,-81,-79,-78,-0.09,3.66,8.59,3,1535907397,14,13,train
29,-75,-75,-92,-75,-73,0.46,4.12,7.68,3,1535907400,13,13,test
30,-74,-78,-89,-76,-60,0.67,3.56,8.39,3,1535907404,13,9,train
31,-81,-82,-96,-85,-62,-2.1,3.57,8.86,3,1535907414,9,8,train
32,-78,-89,-86,-87,-58,-0.67,4.39,8.44,3,1535907419,8,12,train
33,-81,-76,-92,-78,-62,-0.06,7.97,5.34,3,1535907423,12,13,train
34,-82,-76,-89,-86,-72,-0.21,3.17,9.17,3,1535907427,13,12,train
35,-75,-82,-94,-88,-67,-0.11,5.24,7.64,3,1535907431,12,8,train
36,-65,-81,-92,-84,-74,-0.71,4.63,9.02,3,1535907437,8,8,train
37,-62,-78,-94,-90,-86,0.3,3.77,9.6,3,1535907441,8,4,train
38,-54,-82,-74,-87,-76,-0.25,3.17,9.2,3,1535907444,4,4,train
39,-59,-68,-79,-83,-78,-0.95,4.28,8.15,3,1535907448,4,0,train
40,-53,-65,-76,-84,-76,-0.94,4.5,8.4,3,1535907453,0,1,train
41,-64,-78,-79,-86,-89,0.2,4.45,9.56,3,1535907457,1,5,train
42,-83,-67,-72,-86,-75,0.61,3.59,9.25,3,1535907462,5,5,train
43,-74,-81,-63,-95,-82,0.27,3.25,9.03,3,1535907469,5,5,train
44,-76,-78,-65,-94,-81,-0.41,5.98,7.01,3,1535907474,5,1,train
45,-74,-90,-70,-86,-76,-0.36,5.08,8.96,3,1535907480,1,2,train
46,-84,-70,-61,-81,-80,1.04,4.32,8.67,3,1535907484,2,3,train
47,-83,-66,-64,-93,-83,-0.81,4.1,7.53,3,1535907491,3,7,train
48,-78,-65,-73,-85,-84,0.5,0.03,9.61,3,1535907496,7,7,train
49,-73,-62,-80,-80,-87,-1.1,8.11,3.74,3,1535907501,7,11,test
50,-74,-74,-56,-86,-85,-0.48,5.55,8.57,3,1535907507,11,6,train
51,-68,-73,-75,-83,-85,0.78,2,8.77,3,1535907510,6,6,train
52,-74,-69,-77,-76,-81,1.26,0.18,9.88,3,1535907515,6,6,train
53,-88,-63,-71,-77,-81,-0.67,5.62,7.5,3,1535907518,6,10,train
54,-74,-76,-86,-86,-79,0.47,5.26,6.38,3,1535907522,10,5,train
55,-67,-88,-70,-85,-75,-0.82,3.77,9.4,3,1535907527,5,5,train
56,-68,-88,-74,-79,-81,1.32,4.65,9.01,3,1535907528,5,5,train
57,-75,-87,-84,-92,-77,-2.17,2.69,8.14,3,1535907532,5,4,train
58,-86,-70,-92,-75,-78,-0.09,4.27,8.26,3,1535907537,4,9,train
59,-80,-66,-78,-75,-76,2.29,5.59,7.57,3,1535907540,9,10,train
60,-94,-76,-86,-66,-77,0.71,4.23,8.02,3,1535907544,10,11,train
61,-86,-91,-92,-80,-65,0.6,3.28,7.76,3,1535907548,11,15,train
62,-94,-74,-87,-77,-75,0.45,3.68,9,3,1535907552,15,14,train
63,-77,-81,-87,-88,-72,-0.34,5.02,8.27,3,1535907555,14,14,train
64,-78,-86,-92,-92,-73,-0.38,3.34,9.16,3,1535907557,14,12,train
65,-79,-74,-83,-79,-66,0.94,3.82,7.86,3,1535907565,12,9,train
66,-84,-78,-83,-87,-76,-0.14,6.1,5.82,3,1535907567,9,9,train
67,-80,-86,-86,-88,-59,-2.01,4.31,7.94,3,1535907574,9,8,train
68,-82,-86,-91,-85,-67,-1.8,4.1,7.77,3,1535907576,8,12,train
69,-86,-81,-89,-78,-68,-3.38,3.61,9.09,3,1535907578,12,12,test
70,-66,-83,-82,-72,-67,-0.35,4.89,8.45,3,1535907584,12,9,train
71,-85,-76,-79,-80,-72,0.89,4.03,9.77,3,1535907589,9,14,train
72,-91,-72,-86,-72,-73,-1.26,5.6,7.22,3,1535907594,14,14,train
73,-90,-79,-83,-66,-82,-0.12,4.79,8.63,3,1535907597,14,14,train
74,-88,-71,-86,-69,-72,-0.51,5.03,6.9,3,1535907601,14,14,train
75,-97,-68,-78,-74,-80,0.82,3.72,9.33,3,1535907604,14,15,train
76,-86,-82,-96,-62,-63,-2.04,5.47,7.41,3,1535907606,15,15,train
77,-89,-80,-90,-74,-81,1.08,4.7,8.52,3,1535907609,15,11,train
78,-89,-78,-88,-75,-79,0.23,3.21,9.22,3,1535907611,11,11,train
79,-84,-62,-92,-69,-78,2.49,7.02,5.29,3,1535907613,11,11,train
80,-86,-82,-76,-72,-74,0.07,4.63,7.82,3,1535907617,11,10,train
81,-82,-79,-88,-73,-74,-0.19,1.87,9.81,3,1535907619,10,10,train
82,-83,-90,-84,-71,-71,-0.45,3.58,8.19,3,1535907622,10,9,train
83,-76,-88,-86,-92,-70,0.15,4.15,9.17,3,1535907623,9,9,train
84,-65,-83,-73,-88,-75,0.93,2.86,8.4,3,1535907631,9,8,train
85,-64,-73,-75,-92,-81,1.38,0.89,10.05,3,1535907637,8,4,train
86,-62,-92,-74,-94,-87,0.08,2.01,9.18,3,1535907640,4,4,train
87,-65,-77,-94,-84,-78,-0.24,2.65,9.63,3,1535907643,4,0,train
88,-70,-74,-83,-91,-85,0.16,2.97,9.76,3,1535907645,0,0,train
89,-60,-76,-80,-92,-84,-0.41,2.97,10.88,3,1535907647,0,1,test
90,-49,-77,-86,-90,-83,-0.37,3.87,7.19,3,1535907649,1,1,train
91,-78,-72,-71,-92,-86,0.09,2.3,8.65,3,1535907654,1,2,train
92,-87,-66,-75,-83,-80,0.78,3.58,10.88,3,1535907656,2,2,train
93,-91,-72,-67,-85,-86,0.39,2.72,8.83,3,1535907659,2,3,train
94,-85,-79,-60,-85,-92,1.51,3.87,8.08,3,1535907660,3,3,train
95,-78,-72,-67,-95,-85,-0.04,5.25,8.06,3,1535907667,3,7,train
96,-84,-64,-67,-85,-91,1.13,5.34,8.24,3,1535907668,7,7,train
97,-94,-71,-80,-92,-93,1.41,2.37,11.44,3,1535907670,7,7,train
98,-84,-67,-84,-82,-80,-1.12,7.25,6.07,3,1535907674,7,11,train
99,-77,-70,-63,-86,-81,-1.59,3.76,8,3,1535907680,11,6,train
100,-72,-76,-70,-87,-83,0.5,2.65,8.02,3,1535907681,6,6,train
101,-80,-74,-71,-85,-84,1.36,2.56,9.12,3,1535907684,6,6,train
102,-74,-84,-83,-77,-87,1.1,9.14,2.68,3,1535907686,6,10,train
103,-81,-72,-77,-91,-87,-0.47,5.32,6.65,3,1535907692,10,5,train
104,-75,-76,-72,-84,-77,-0.13,5.98,6.57,3,1535907693,5,5,train
105,-78,-84,-83,-90,-77,-1.21,0.9,9.69,3,1535907697,5,5,train
106,-66,-82,-87,-82,-75,-2.21,4.17,8.42,3,1535907701,5,4,train
107,-88,-75,-81,-92,-76,-1.42,3.58,7.34,3,1535907707,4,9,train
108,-83,-78,-82,-80,-71,-0.4,4.53,7.69,3,1535907711,9,9,train
109,-92,-70,-80,-84,-70,1.23,6.01,10.27,3,1535907713,9,10,test
110,-82,-63,-91,-84,-70,0.67,4.13,9.15,3,1535907717,10,10,train
111,-96,-65,-85,-75,-76,0.75,4.01,8.7,3,1535907720,10,11,train
112,-56,-71,-74,-86,-83,1.51,2.94,9.11,11986,1535904652,0,0,train
113,-56,-74,-77,-88,-82,0.61,3.05,8.47,11986,1535904654,0,0,train
114,-49,-88,-75,-86,-82,1.4,3.58,8.67,11986,1535904655,0,0,train
115,-59,-72,-78,-86,-82,-0.29,3.41,9.56,11986,1535904656,0,0,train
116,-59,-70,-78,-89,-77,0.53,3.92,9.21,11986,1535904658,0,0,train
117,-63,-77,-79,-89,-91,-0.39,3.39,9.26,11986,1535904660,0,0,train
118,-59,-66,-76,-92,-77,0.26,3.17,10.05,11986,1535904661,0,1,train
119,-68,-68,-80,-82,-83,1.37,2.9,9.17,11986,1535904663,1,1,train
120,-46,-80,-72,-93,-83,0.99,3.73,9.28,11986,1535904664,1,1,train
121,-58,-70,-70,-93,-80,0.88,3.96,8.06,11986,1535904666,1,5,train
122,-62,-64,-70,-82,-76,0.57,3.65,9.98,11986,1535904667,5,5,train
123,-54,-67,-64,-83,-73,1.32,3.36,9.01,11986,1535904668,5,5,train
124,-66,-65,-65,-90,-80,-0.73,3.54,8.8,11986,1535904669,5,5,train
125,-66,-72,-64,-90,-79,0.31,3.64,9.34,11986,1535904670,5,5,train
126,-62,-70,-72,-92,-82,0.34,3.32,9.16,11986,1535904672,5,5,train
127,-69,-60,-76,-82,-70,-0.3,2.85,8.7,11986,1535904680,5,5,train
128,-71,-68,-66,-90,-75,1.01,4.21,9.13,11987,1535904702,5,5,train
129,-71,-69,-69,-86,-73,-0.77,4.54,8.66,11987,1535904703,5,5,test
130,-71,-68,-69,-88,-72,-0.4,4,8.52,11987,1535904705,5,5,train
131,-75,-75,-69,-81,-74,-1.29,3.82,8.92,11987,1535904716,5,5,train
132,-62,-72,-76,-80,-71,-1.95,3.79,9.14,11987,1535904719,5,4,train
133,-75,-79,-77,-82,-70,-2.57,4.43,7.37,11987,1535904720,4,4,train
134,-70,-81,-72,-80,-68,-1.57,3.73,9.07,11987,1535904721,4,4,train
135,-63,-76,-71,-80,-68,-0.58,4.01,7.64,11987,1535904722,4,4,train
136,-58,-77,-77,-80,-70,-1.48,4.33,7.8,11987,1535904723,4,4,train
137,-68,-76,-68,-85,-68,-1.5,3.81,8.83,11987,1535904725,4,4,train
138,-68,-83,-66,-84,-63,-1.16,3.38,8.9,11987,1535904731,4,4,train
139,-59,-77,-77,-76,-66,-0.75,3.64,8.93,11987,1535904732,4,4,train
140,-59,-85,-66,-83,-65,-4.34,1.79,8.94,11987,1535904734,4,8,train
141,-59,-70,-63,-79,-70,-1.98,3.27,8.3,11987,1535904735,8,4,train
142,-59,-70,-74,-79,-66,0.45,3.78,9.17,11987,1535904737,4,8,train
143,-66,-70,-74,-72,-66,0.05,3.3,9.23,11987,1535904738,8,8,train
144,-66,-70,-73,-95,-60,-0.59,3.07,9.11,11987,1535904738,8,8,train
145,-63,-70,-76,-80,-66,-1.49,2.23,10.04,11987,1535904739,8,8,train
146,-63,-72,-85,-80,-66,-0.14,2.74,9.24,11987,1535904740,8,8,train
147,-60,-74,-85,-84,-58,0.29,3.78,8.92,11987,1535904741,8,8,train
148,-60,-76,-82,-84,-74,-1.37,2.93,8.92,11987,1535904742,8,8,train
149,-73,-82,-82,-84,-63,-1,2.51,11.09,11987,1535904743,8,8,test
150,-73,-81,-82,-84,-73,-0.89,3.84,10.58,11987,1535904744,8,8,train
151,-60,-72,-72,-84,-73,0.01,3.8,9.7,11987,1535904745,8,8,train
152,-62,-76,-77,-80,-66,-1.61,5.12,10.14,11987,1535904746,8,8,train
153,-62,-83,-71,-74,-64,-1.12,2.88,8.94,11987,1535904747,8,8,train
154,-79,-74,-80,-75,-70,0.96,3.03,8.72,11987,1535904749,8,8,train
155,-59,-77,-72,-86,-67,0.94,3.84,8.47,11987,1535904750,8,9,train
156,-69,-74,-81,-72,-68,-1.77,4.35,9.46,11987,1535904751,9,9,train
157,-69,-79,-81,-75,-64,0.1,3.71,8.96,11987,1535904752,9,9,train
158,-69,-71,-82,-76,-59,-0.65,3.11,10.51,11987,1535904753,9,9,train
159,-70,-76,-74,-69,-72,-0.45,4.95,9.32,11987,1535904754,9,9,train
160,-70,-74,-74,-83,-72,-0.63,3.89,8.33,11987,1535904755,9,9,train
161,-81,-67,-77,-67,-72,-1.11,3.81,8.56,11987,1535904756,9,9,train
162,-87,-66,-77,-70,-72,-1.68,3.45,8.94,11987,1535904757,9,9,train
163,-84,-66,-77,-70,-69,0.48,5.26,7.56,11987,1535904758,9,10,train
164,-83,-61,-82,-70,-64,-0.11,4.24,7.33,11987,1535904760,10,10,train
165,-76,-63,-83,-77,-68,-0.15,4.32,7.81,11987,1535904761,10,10,train
166,-79,-68,-78,-73,-70,-0.34,3.38,10.08,11987,1535904762,10,10,train
167,-77,-74,-78,-68,-75,-1.24,2.6,9.7,11987,1535904762,10,10,train
168,-77,-66,-78,-72,-68,1.36,3.13,9.04,11987,1535904763,10,10,train
169,-85,-67,-73,-72,-63,-0.31,2.87,9.28,11987,1535904764,10,10,test
170,-75,-63,-67,-72,-65,-0.82,3.72,10.02,11987,1535904765,10,10,train
171,-73,-61,-84,-72,-65,1.3,3.42,7.06,11987,1535904766,10,10,train
172,-77,-62,-84,-79,-72,0.47,3.61,9.21,11987,1535904767,10,10,train
173,-75,-56,-76,-77,-67,0.22,3.03,9.73,11987,1535904770,10,11,train
174,-77,-67,-82,-69,-77,2.13,2.46,9.28,11987,1535904771,11,11,train
175,-79,-64,-90,-69,-77,-0.48,3.02,7.7,11987,1535904772,11,11,train
176,-76,-74,-91,-69,-75,0.47,1.8,9.63,11987,1535904773,11,11,train
177,-86,-73,-86,-69,-71,1.95,2.66,10.76,11987,1535904775,11,15,train
178,-80,-72,-78,-68,-65,-0.33,2,9.57,11987,1535904776,15,15,train
179,-83,-75,-81,-63,-72,0.91,2.38,9.15,11987,1535904776,15,15,train
180,-84,-73,-78,-63,-72,0.5,2.12,8.13,11987,1535904777,15,15,train
181,-79,-73,-76,-63,-66,0.39,1.71,10.47,11987,1535904780,15,15,train
182,-84,-92,-79,-66,-63,0.26,2.74,9.56,11987,1535904780,15,15,train
183,-80,-76,-84,-59,-74,-0.36,3.85,8.68,11987,1535904782,15,15,train
184,-83,-73,-80,-58,-71,-0.54,2.82,8.94,11987,1535904782,15,15,train
185,-83,-78,-73,-58,-68,1.47,2.83,8.21,11987,1535904783,15,15,train
186,-76,-78,-72,-58,-66,1.34,3.11,8.62,11987,1535904784,15,15,train
187,-81,-78,-82,-69,-64,-1.38,3.01,10.31,11987,1535904785,15,14,train
188,-82,-78,-79,-66,-70,-0.37,2.42,9.29,11987,1535904786,14,14,train
189,-80,-65,-80,-80,-74,-1.37,2.34,9.61,11987,1535904787,14,14,test
190,-77,-63,-84,-90,-65,-0.88,5.44,10.48,11987,1535904789,14,14,train
191,-77,-63,-84,-73,-76,-1.12,4.46,7.06,11987,1535904790,14,14,train
192,-78,-72,-85,-76,-76,-0.17,4.31,8.89,11987,1535904791,14,14,train
193,-78,-70,-90,-76,-56,-0.08,3.01,11.38,11987,1535904792,14,14,train
194,-87,-65,-75,-80,-60,0.68,3.06,10.01,11987,1535904793,14,14,train
195,-87,-77,-81,-72,-62,-0.24,3.02,9.81,11987,1535904793,14,14,train
196,-78,-72,-76,-82,-68,-2.53,4.77,9.02,11987,1535904796,14,13,train
197,-79,-72,-80,-71,-68,0.6,4.2,9.41,11987,1535904797,13,13,train
198,-80,-73,-77,-74,-68,-0.22,3.5,8.66,11987,1535904798,13,13,train
199,-74,-73,-77,-76,-65,-1.34,3.72,8.54,11987,1535904799,13,13,train
200,-76,-75,-76,-73,-74,-1.65,3.95,7.93,11987,1535904801,13,13,train
201,-76,-65,-80,-76,-69,-1.2,4.09,9.52,11987,1535904802,13,13,train
202,-77,-65,-80,-76,-69,0.43,2.73,9.12,11987,1535904803,13,13,train
203,-72,-71,-79,-75,-64,-0.03,3.55,9.67,11987,1535904803,13,13,train
204,-76,-81,-87,-75,-60,-1.01,3.38,8.6,11987,1535904804,13,9,train
205,-76,-71,-84,-74,-54,-1.62,2.8,5.38,11987,1535904805,9,9,train
206,-70,-69,-80,-77,-76,1.04,4.1,8.53,11987,1535904806,9,9,train
207,-77,-71,-83,-72,-68,0,4.08,8.53,11987,1535904807,9,9,train
208,-76,-79,-79,-72,-63,-0.01,4.67,8.57,11987,1535904808,9,9,train
209,-73,-76,-78,-72,-70,-1.69,3.85,8.62,11987,1535904809,9,9,test
210,-74,-73,-71,-77,-74,-0.6,3.28,8.21,11987,1535904811,9,9,train
211,-76,-80,-79,-78,-66,-0.12,2.55,9.81,11987,1535904816,9,9,train
212,-68,-75,-74,-88,-66,-0.48,3.47,9.02,11987,1535904816,9,9,train
213,-78,-79,-89,-84,-68,-5.87,3.24,7.73,11987,1535904818,9,8,train
214,-78,-79,-75,-78,-68,-1.43,3.51,7.17,11987,1535904819,8,8,train
215,-78,-74,-80,-78,-68,-0.77,3.39,7.83,11987,1535904820,8,8,train
216,-64,-74,-86,-78,-68,-0.54,3.6,9.18,11987,1535904821,8,8,train
217,-80,-66,-77,-79,-68,-2.79,3.46,9.36,11987,1535904823,8,8,train
218,-64,-88,-79,-74,-64,-3.86,2.98,9.26,11987,1535904824,8,8,train
219,-61,-77,-81,-74,-58,-4.2,3.5,7.25,11987,1535904826,8,8,train
220,-68,-75,-77,-74,-60,-1.44,4.6,8.74,11987,1535904828,8,8,train
221,-79,-86,-78,-72,-59,-2.07,4.43,8,11987,1535904831,8,8,train
222,-81,-86,-76,-94,-71,-0.89,3.67,10.08,11987,1535904832,8,8,train
223,-73,-86,-75,-76,-61,0.34,4.65,9.86,11987,1535904833,8,12,train
224,-78,-81,-81,-76,-61,-1.82,3.03,8.66,11987,1535904834,12,12,train
225,-89,-71,-89,-81,-53,-3.13,3.05,9.31,11987,1535904834,12,12,train
226,-74,-74,-93,-88,-49,0.55,3.28,8.68,11987,1535904837,12,12,train
227,-71,-74,-83,-78,-52,0.07,2.38,8.15,11987,1535904837,12,12,train
228,-77,-78,-83,-74,-60,-0.05,2.76,9.76,11987,1535904839,12,12,train
229,-70,-80,-83,-79,-55,-0.32,3.32,8.16,11987,1535904839,12,12,test
230,-70,-80,-86,-76,-48,1.61,3.32,9.44,11987,1535904840,12,12,train
231,-71,-81,-86,-89,-59,-0.77,3.58,9,11987,1535904841,12,12,train
232,-78,-81,-92,-74,-60,-2.56,3.54,9.14,11987,1535904842,12,12,train
233,-77,-81,-92,-76,-60,0.48,3.02,9.92,11987,1535904843,12,12,train
234,-80,-77,-91,-85,-55,1.02,3.28,9.62,11987,1535904844,12,12,train
235,-72,-78,-81,-86,-58,0.36,3.42,9.98,11987,1535904846,12,12,train
236,-66,-81,-82,-86,-58,-0.05,3.61,8.71,11987,1535904847,12,12,train
237,-66,-83,-82,-76,-49,-0.24,3.86,9.31,11987,1535904848,12,12,train
238,-68,-84,-94,-76,-58,1.37,2.91,9.35,11987,1535904849,12,12,train
239,-77,-76,-94,-76,-57,-0.01,3.39,8.64,11987,1535904849,12,12,train
240,-72,-73,-94,-80,-55,0.48,2.99,9.39,11987,1535904850,12,12,train
241,-74,-76,-86,-85,-68,0.04,3.45,8.74,11987,1535904852,12,12,train
242,-76,-79,-92,-85,-55,2,2.96,8.89,11987,1535904853,12,8,train
243,-76,-95,-84,-85,-72,-0.6,2.79,9.3,11987,1535904853,8,8,train
244,-66,-74,-76,-80,-62,-0.7,3.73,8.5,11987,1535904854,8,8,train
245,-69,-82,-76,-74,-62,0.27,3.6,9.42,11987,1535904855,8,8,train
246,-69,-86,-83,-92,-76,1.62,3.72,8.9,11987,1535904856,8,8,train
247,-67,-85,-84,-78,-71,-0.95,3.68,9.72,11987,1535904856,8,8,train
248,-62,-81,-80,-73,-70,-0.16,3.94,9.21,11987,1535904858,8,8,train
249,-62,-73,-80,-85,-78,0.46,4.33,9.86,11987,1535904859,8,8,test
250,-62,-69,-70,-86,-71,-2.44,4.17,7.5,11987,1535904865,8,8,train
251,-57,-79,-68,-81,-81,-2.02,3.43,8.95,11987,1535904866,8,8,train
252,-57,-77,-72,-81,-90,-2.33,3.8,8.51,11987,1535904867,8,4,train
253,-64,-77,-81,-86,-80,0.09,3.94,8.47,11987,1535904868,4,4,train
254,-60,-66,-73,-86,-78,1.03,3.75,9,11987,1535904868,4,4,train
255,-59,-70,-70,-84,-78,-0.86,2.98,10.13,11987,1535904870,4,4,train
256,-63,-68,-70,-81,-78,0.5,3.7,9.91,11987,1535904870,4,4,train
257,-48,-75,-67,-84,-73,1.81,3.2,9.78,11987,1535904871,4,4,train
258,-48,-72,-68,-82,-73,-0.87,3.46,9.35,11987,1535904872,4,4,train
259,-59,-72,-74,-85,-86,1.28,2.5,8.92,11987,1535904873,4,4,train
260,-56,-76,-74,-84,-77,-0.15,4.29,8.9,11987,1535904874,4,0,train
261,-56,-75,-75,-82,-76,1.23,3.81,9.99,11987,1535904875,0,0,train
262,-52,-75,-75,-82,-66,-1.45,3.17,9.97,11987,1535904876,0,0,train
263,-52,-77,-77,-82,-76,1,1.73,7.56,11987,1535904876,0,0,train
264,-52,-68,-74,-80,-76,-0.04,3.5,9.26,11987,1535904877,0,0,train
265,-58,-74,-81,-95,-72,2.41,3.74,9.96,11987,1535904879,0,1,train
266,-48,-66,-74,-86,-84,-0.19,3.91,8.08,11987,1535904880,1,1,train
267,-54,-79,-80,-84,-84,-1.37,2.78,10.39,11987,1535904881,1,1,train
268,-70,-69,-80,-82,-84,-0.85,2.38,10.15,11987,1535904882,1,1,train
269,-56,-69,-68,-84,-84,0.3,3.58,9.42,11987,1535904883,1,1,test
270,-66,-62,-71,-95,-84,-0.15,3.64,7.93,11987,1535904884,1,1,train
271,-73,-68,-66,-76,-74,-0.51,2.57,9.18,11987,1535904886,1,1,train
272,-65,-64,-72,-76,-76,0.08,3.6,8.67,11987,1535904888,1,5,train
273,-63,-67,-85,-86,-76,1.12,3.97,8.74,11987,1535904889,5,5,train
274,-76,-64,-72,-79,-75,-0.7,2.89,9.15,11987,1535904890,5,5,train
275,-70,-60,-81,-95,-70,1.09,4.27,7.86,11987,1535904891,5,5,train
276,-70,-59,-66,-76,-80,-0.39,3.47,9.02,11987,1535904894,5,6,train
277,-67,-62,-70,-88,-84,-0.97,3.4,7.55,11987,1535904896,6,6,train
278,-73,-63,-86,-96,-83,-0.34,3.03,9.47,11987,1535904897,6,6,train
279,-66,-63,-64,-82,-75,0.1,3.49,9.61,11987,1535904900,6,6,train
280,-66,-65,-72,-79,-87,-0.38,4.29,10.54,11987,1535904904,6,6,train
281,-72,-65,-62,-77,-86,1.43,2.9,10.1,11987,1535904905,6,6,train
282,-67,-58,-62,-86,-81,0.6,2.18,9.64,11987,1535904907,6,6,train
283,-70,-63,-70,-74,-81,-0.53,2.63,9.52,11987,1535904908,6,7,train
284,-76,-68,-69,-90,-85,1.87,2.64,10.47,11987,1535904912,7,7,train
285,-74,-66,-63,-90,-85,-0.53,2.57,8.59,11987,1535904913,7,7,train
286,-81,-56,-63,-78,-85,-1.23,2.95,9.02,11987,1535904914,7,7,train
287,-78,-68,-63,-91,-88,0.95,2.25,9.43,11987,1535904915,7,7,train
288,-68,-70,-78,-91,-83,-0.72,1.97,9.85,11987,1535904916,7,7,train
289,-70,-52,-78,-84,-77,-1.44,2.18,8.68,11987,1535904916,7,7,test
290,-70,-56,-65,-72,-75,-0.68,2.32,10.5,11987,1535904917,7,7,train
291,-73,-57,-66,-70,-76,-1.3,2.7,10.08,11987,1535904918,7,7,train
292,-73,-60,-75,-85,-79,1.77,2.64,9.89,11987,1535904919,7,7,train
293,-73,-73,-62,-74,-82,-1.31,2.61,8.18,11987,1535904921,7,7,train
294,-73,-57,-62,-74,-76,0.74,3.27,8.86,11987,1535904921,7,7,train
295,-74,-57,-74,-76,-73,0.41,2.08,10.52,11987,1535904923,7,7,train
296,-71,-61,-62,-83,-74,1.37,1.8,9.6,11987,1535904924,7,7,train
297,-66,-61,-59,-87,-74,-0.44,1.84,9.71,11987,1535904925,7,7,train
298,-67,-57,-59,-81,-72,0.28,2.23,9.9,11987,1535904926,7,7,train
299,-72,-57,-53,-81,-90,-0.17,3,9.14,11987,1535904928,7,3,train
300,-77,-58,-55,-81,-84,-1.87,2.89,9.11,11987,1535904930,3,3,train
301,-73,-58,-60,-81,-84,-1.12,5.04,8.41,11987,1535904931,3,2,train
302,-73,-54,-62,-81,-84,1.64,3.57,9.23,11987,1535904932,2,2,train
303,-90,-64,-68,-81,-72,-0.11,3.63,9.48,11987,1535904933,2,2,train
304,-97,-60,-68,-80,-72,0.18,3.77,9.26,11987,1535904934,2,2,train
305,-65,-61,-73,-76,-76,-0.31,3.04,8.52,11987,1535904935,2,2,train
306,-64,-76,-75,-76,-76,-2.44,3.67,9.35,11987,1535904936,2,1,train
307,-68,-76,-81,-78,-76,2.21,3.28,10.17,11987,1535904937,1,1,train
308,-63,-65,-86,-78,-77,-1.13,3.47,7.96,11987,1535904938,1,1,train
309,-53,-71,-69,-88,-82,-1.37,3.66,7.25,11987,1535904940,1,1,test
310,-55,-64,-76,-85,-76,0.15,3.54,8.69,11987,1535904943,1,1,train
311,-58,-64,-75,-83,-76,0.83,3.22,9.8,11987,1535904944,1,1,train
312,-58,-66,-73,-84,-77,0.93,3.12,9.19,11987,1535904944,1,1,train
313,-58,-66,-84,-84,-72,-0.78,4.09,10.61,11987,1535904945,1,1,train
314,-61,-66,-84,-85,-72,-0.77,3.7,8.63,11987,1535904946,1,0,train
315,-53,-66,-77,-86,-73,2.21,3.48,8.32,11987,1535904946,0,0,train
316,-67,-66,-77,-85,-77,1.05,3.66,8.73,11987,1535904947,0,0,train
317,-60,-66,-89,-88,-74,0.46,2.89,7.4,11987,1535904948,0,0,train
318,-68,-81,-80,-85,-71,-1.04,4.55,8.15,11987,1535904949,0,0,train
319,-62,-79,-76,-88,-70,-0.16,3.43,8.49,11987,1535904951,0,0,train
320,-61,-72,-69,-90,-69,-0.57,3.63,10.07,11987,1535904952,0,0,train
321,-52,-67,-69,-91,-76,1.13,2.56,9.28,11987,1535904953,0,0,train
322,-53,-75,-75,-81,-74,-1.17,4.72,10.24,11987,1535904956,0,0,train
323,-52,-70,-72,-91,-68,-0.11,4.5,9.14,11987,1535904957,0,0,train
